index,L,R,P_high,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
52,1.44 ,0.18 ,18.00 ,0.000989150 ,0.000988380 ,0.001618800 ,0.135592830 ,0.255605680 ,0.300326670 ,0.317907050 ,0.325033710 ,0.327955160 ,0.329157150 ,0.329652220 ,0.329856150 ,0.329940150 ,0.329974740 ,0.329988990 ,0.329994860 ,0.329997280 ,0.329998280 ,0.329998710 
14,1.13 ,0.28 ,20.00 ,0.000989920 ,0.014686990 ,0.200489230 ,0.280666300 ,0.310440290 ,0.322126980 ,0.326815250 ,0.328709890 ,0.329477180 ,0.329788020 ,0.329913920 ,0.329964880 ,0.329985510 ,0.329993850 ,0.329997230 ,0.329998600 ,0.329999160 ,0.329999380 ,0.329999480 
28,1.42 ,0.20 ,19.00 ,0.000989670 ,0.000989070 ,0.010398950 ,0.189962520 ,0.276085670 ,0.308409600 ,0.321216730 ,0.326407520 ,0.328528010 ,0.329396380 ,0.329752200 ,0.329897990 ,0.329957710 ,0.329982170 ,0.329992190 ,0.329996290 ,0.329997980 ,0.329998680 ,0.329998970 
254,1.00 ,0.14 ,17.00 ,0.000988010 ,0.003972600 ,0.170790440 ,0.269006290 ,0.305648930 ,0.320105740 ,0.325955780 ,0.328344010 ,0.329321570 ,0.329721920 ,0.329885850 ,0.329952950 ,0.329980410 ,0.329991630 ,0.329996220 ,0.329998110 ,0.329998880 ,0.329999200 ,0.329999330 
204,1.11 ,0.12 ,16.00 ,0.000987430 ,0.000992020 ,0.046242930 ,0.216542250 ,0.285275990 ,0.311821880 ,0.322524040 ,0.326913270 ,0.328723910 ,0.329472090 ,0.329781350 ,0.329909160 ,0.329961970 ,0.329983790 ,0.329992800 ,0.329996520 ,0.329998070 ,0.329998710 ,0.329998980 
216,1.21 ,0.24 ,17.00 ,0.000988270 ,0.000989050 ,0.030999060 ,0.208188860 ,0.282363870 ,0.310736300 ,0.322107770 ,0.326752340 ,0.328661670 ,0.329448100 ,0.329772140 ,0.329905650 ,0.329960640 ,0.329983290 ,0.329992610 ,0.329996450 ,0.329998040 ,0.329998690 ,0.329998970 
440,1.15 ,0.21 ,20.00 ,0.000989920 ,0.009150650 ,0.192845080 ,0.277888010 ,0.309356590 ,0.321690300 ,0.326637270 ,0.328637080 ,0.329447360 ,0.329775810 ,0.329908920 ,0.329962830 ,0.329984660 ,0.329993500 ,0.329997080 ,0.329998530 ,0.329999120 ,0.329999360 ,0.329999460 
260,1.18 ,0.13 ,9.00 ,0.000978600 ,0.000977170 ,0.000975680 ,0.000974180 ,0.000974170 ,0.001924580 ,0.069109320 ,0.214193680 ,0.280500910 ,0.308470170 ,0.320550920 ,0.325835930 ,0.328160490 ,0.329185460 ,0.329638040 ,0.329838100 ,0.329926620 ,0.329965840 ,0.329983230 
72,1.34 ,0.12 ,10.00 ,0.000981140 ,0.000979860 ,0.000978510 ,0.000977150 ,0.000976090 ,0.001257710 ,0.043912310 ,0.199937240 ,0.275186500 ,0.306433160 ,0.319759650 ,0.325529650 ,0.328043490 ,0.329141620 ,0.329622000 ,0.329832360 ,0.329924570 ,0.329965020 ,0.329982790 
448,1.15 ,0.13 ,16.00 ,0.000987490 ,0.000987780 ,0.021549890 ,0.199292880 ,0.278744420 ,0.309206910 ,0.321448540 ,0.326466570 ,0.328537760 ,0.329394430 ,0.329748920 ,0.329895610 ,0.329956290 ,0.329981380 ,0.329991760 ,0.329996050 ,0.329997830 ,0.329998580 ,0.329998890 
436,1.16 ,0.18 ,17.00 ,0.000988210 ,0.000997830 ,0.064419600 ,0.226822720 ,0.289397560 ,0.313547100 ,0.323260000 ,0.327228960 ,0.328859420 ,0.329530240 ,0.329806280 ,0.329919860 ,0.329966590 ,0.329985790 ,0.329993690 ,0.329996940 ,0.329998280 ,0.329998840 ,0.329999070 
252,1.24 ,0.17 ,9.00 ,0.000978850 ,0.000977430 ,0.000975950 ,0.000974450 ,0.000973090 ,0.001061040 ,0.016198660 ,0.165635750 ,0.259936150 ,0.299669630 ,0.316707150 ,0.324141310 ,0.327410220 ,0.328852470 ,0.329489940 ,0.329772060 ,0.329897060 ,0.329952500 ,0.329977120 
824,1.41 ,0.14 ,19.00 ,0.000989660 ,0.000989120 ,0.013085350 ,0.194074640 ,0.277599830 ,0.309004260 ,0.321458000 ,0.326506580 ,0.328568850 ,0.329413240 ,0.329759160 ,0.329900870 ,0.329958900 ,0.329982670 ,0.329992400 ,0.329996390 ,0.329998030 ,0.329998700 ,0.329998980 
652,1.17 ,0.29 ,12.00 ,0.000983610 ,0.000982500 ,0.000981410 ,0.001492290 ,0.091079660 ,0.231996580 ,0.289600950 ,0.312989040 ,0.322774400 ,0.326920550 ,0.328685440 ,0.329437940 ,0.329758990 ,0.329896010 ,0.329954510 ,0.329979490 ,0.329990170 ,0.329994740 ,0.329996700 
224,1.37 ,0.25 ,7.00 ,0.000974270 ,0.000972450 ,0.000970670 ,0.000968910 ,0.000967130 ,0.000965340 ,0.000963550 ,0.000962010 ,0.000998740 ,0.004062770 ,0.074337280 ,0.209452790 ,0.276155690 ,0.305676490 ,0.318923720 ,0.324933290 ,0.327674820 ,0.328929600 ,0.329505310 
