index,L,R,P_high,t1,t2,t3,t4,t5
0,8.32,0.16,6,0.22784015,0.32235083,0.32985136,0.32999848,0.33000002
1,9.28,0.33,10,0.29995195,0.32959399,0.32999587,0.32999816,0.32999827
2,3.93,0.13,16,0.32974101,0.32999968,0.32999986,0.32999988,0.32999989
3,6.3,0.3,14,0.32800639,0.32999565,0.32999951,0.32999955,0.32999959
4,8.97,0.42,13,0.32101876,0.32995399,0.32999887,0.32999904,0.32999911
5,7.51,0.27,7,0.27283938,0.32842708,0.32998347,0.32999847,0.32999862
6,3.53,0.45,11,0.32908879,0.32999833,0.32999961,0.32999965,0.32999969
7,6.73,0.45,20,0.32951119,0.32999944,0.32999985,0.32999986,0.32999988
8,4.18,0.35,19,0.32985081,0.32999984,0.32999992,0.32999993,0.32999994
9,7.98,0.19,16,0.32763515,0.32999474,0.32999954,0.32999958,0.32999962
10,8.53,0.38,13,0.32241776,0.32996524,0.32999897,0.32999911,0.32999918
11,1.22,0.49,13,0.32996947,0.32999995,0.32999996,0.32999997,0.32999997
12,1.51,0.18,17,0.32998109,0.32999997,0.32999998,0.32999998,0.32999998
13,8.4,0.16,11,0.31508754,0.32988635,0.32999819,0.32999866,0.32999875
14,2.82,0.21,8,0.32828782,0.32999574,0.32999953,0.32999958,0.32999962
15,5.3,0.13,17,0.32951716,0.32999938,0.32999981,0.32999983,0.32999985
16,7.39,0.12,20,0.32934238,0.3299992,0.32999982,0.32999984,0.32999985
17,7.93,0.37,19,0.32895426,0.32999847,0.32999976,0.32999978,0.3299998
18,4.69,0.19,15,0.32942502,0.32999918,0.32999976,0.32999978,0.32999981
19,2.94,0.26,14,0.32980054,0.32999973,0.32999986,0.32999988,0.32999989
20,8.14,0.12,18,0.32853863,0.32999752,0.32999969,0.32999972,0.32999974
21,1.72,0.46,7,0.32932886,0.32999883,0.32999982,0.32999984,0.32999986
22,7.56,0.47,14,0.32636903,0.32998944,0.32999934,0.3299994,0.32999945
23,2.94,0.32,17,0.32990837,0.32999989,0.32999993,0.32999994,0.32999995
24,2.58,0.32,19,0.32995737,0.32999995,0.32999997,0.32999997,0.32999997
25,7.96,0.17,13,0.32396396,0.32997589,0.32999908,0.32999919,0.32999926
26,6.49,0.15,17,0.32908812,0.32999865,0.32999973,0.32999976,0.32999978
27,8.42,0.3,7,0.2547972,0.32701485,0.3299615,0.32999813,0.32999845
28,7.4,0.33,12,0.32324238,0.32997031,0.32999896,0.3299991,0.32999917
29,6.85,0.46,16,0.32857107,0.32999745,0.32999964,0.32999967,0.3299997
30,2.39,0.36,13,0.32984669,0.32999978,0.32999988,0.32999989,0.3299999
31,3.66,0.25,18,0.32987077,0.32999985,0.32999992,0.32999993,0.32999994
32,8.85,0.45,5,0.2010795,0.29941886,0.32871578,0.32997295,0.33000395
33,9.12,0.14,17,0.32721287,0.32999346,0.32999954,0.32999958,0.32999962
34,1.62,0.35,14,0.32995638,0.32999994,0.32999995,0.32999996,0.32999996
35,9.3,0.33,18,0.32771827,0.32999528,0.32999962,0.32999965,0.32999968
36,9.31,0.3,6,0.21335072,0.31612387,0.329644,0.32999533,0.32999998
37,5.08,0.43,11,0.32712566,0.32999188,0.32999929,0.32999936,0.32999942
38,3.1,0.42,11,0.32938274,0.32999897,0.32999969,0.32999972,0.32999975
39,1.33,0.18,16,0.32998151,0.32999997,0.32999998,0.32999998,0.32999998
40,7.75,0.47,7,0.26808318,0.3281197,0.32997915,0.32999839,0.32999857
41,6.15,0.23,18,0.32940784,0.32999925,0.3299998,0.32999982,0.32999984
42,9.46,0.36,18,0.32758151,0.32999484,0.32999961,0.32999964,0.32999967
43,2.55,0.49,14,0.32986637,0.32999982,0.3299999,0.32999991,0.32999992
44,8.68,0.18,17,0.32763902,0.3299949,0.32999957,0.32999962,0.32999965
45,2.6,0.25,11,0.32962999,0.32999942,0.32999977,0.3299998,0.32999982
46,6.88,0.21,6,0.25847282,0.32727211,0.3299657,0.3299998,0.33000004
47,4.83,0.35,7,0.314324,0.32985926,0.32999853,0.32999916,0.32999923
48,8.08,0.4,7,0.26154837,0.3276349,0.32997188,0.32999827,0.32999851
49,9.3,0.46,6,0.21346587,0.31620247,0.32964702,0.32999539,0.32999998
50,6.48,0.49,10,0.32039864,0.32994427,0.32999862,0.32999886,0.32999894
51,6.82,0.47,11,0.32245534,0.32996356,0.32999884,0.329999,0.32999908
52,4.43,0.33,9,0.32563598,0.3299836,0.32999913,0.32999923,0.3299993
53,7.74,0.21,18,0.32876129,0.32999802,0.32999971,0.32999974,0.32999976
54,4.46,0.24,17,0.32971116,0.32999965,0.32999986,0.32999987,0.32999989
55,1.78,0.47,7,0.32925604,0.32999864,0.32999981,0.32999983,0.32999985
56,7.08,0.22,8,0.29920697,0.3295526,0.32999567,0.32999835,0.32999846
57,7.34,0.18,13,0.32539328,0.32998429,0.3299992,0.32999929,0.32999934
58,2.5,0.34,17,0.3299402,0.32999992,0.32999995,0.32999996,0.32999996
59,1.8,0.32,13,0.32992556,0.32999989,0.32999993,0.32999994,0.32999994
60,7.01,0.28,12,0.32436506,0.32997787,0.32999905,0.32999917,0.32999923
61,8.41,0.17,6,0.22626572,0.32188919,0.32983804,0.32999831,0.33000001
62,2.77,0.19,11,0.32955297,0.32999929,0.32999974,0.32999977,0.32999979
63,8.86,0.49,6,0.21916354,0.31930059,0.3297575,0.32999716,0.33
64,8.72,0.34,20,0.32887547,0.32999837,0.32999977,0.32999979,0.32999981
65,2.75,0.17,16,0.32990288,0.32999988,0.32999993,0.32999993,0.32999994
66,5.88,0.13,10,0.32300825,0.32996676,0.32999885,0.32999901,0.32999909
67,4.39,0.17,7,0.31838092,0.32991484,0.32999892,0.32999927,0.32999933
68,7.3,0.15,15,0.32763565,0.3299946,0.3299995,0.32999955,0.32999959
69,7.53,0.4,10,0.31443342,0.32987474,0.32999806,0.3299986,0.32999869
70,5.04,0.17,11,0.32719969,0.32999219,0.3299993,0.32999937,0.32999943
71,3.44,0.19,9,0.32803449,0.32999496,0.32999943,0.32999949,0.32999954
72,7.96,0.12,14,0.32567767,0.32998613,0.32999928,0.32999936,0.32999941
73,1.13,0.45,13,0.32997441,0.32999996,0.32999997,0.32999997,0.32999998
74,5.19,0.11,16,0.32940901,0.32999918,0.32999977,0.3299998,0.32999982
75,2.72,0.36,17,0.32992553,0.32999991,0.32999994,0.32999995,0.32999995
76,5.6,0.12,10,0.32405331,0.32997441,0.32999895,0.32999908,0.32999915
77,8.21,0.2,10,0.30947222,0.32979668,0.32999747,0.32999843,0.32999853
78,2.9,0.31,17,0.32991168,0.32999989,0.32999993,0.32999994,0.32999995
79,7.49,0.27,10,0.31465962,0.32987739,0.32999807,0.3299986,0.3299987
80,1.68,0.23,13,0.32993763,0.32999991,0.32999994,0.32999994,0.32999995
81,5.71,0.39,14,0.32855148,0.32999723,0.32999958,0.32999962,0.32999965
82,9.97,0.25,12,0.3120226,0.32984642,0.32999799,0.32999864,0.32999872
83,5.72,0.46,16,0.32919929,0.32999882,0.32999973,0.32999976,0.32999978
84,7.9,0.41,7,0.26509053,0.32790391,0.32997595,0.32999834,0.32999854
85,4.57,0.18,8,0.32223732,0.32995806,0.32999892,0.3299991,0.32999917
86,2.69,0.36,10,0.32939773,0.32999896,0.32999969,0.32999973,0.32999975
87,1.1,0.29,14,0.32998113,0.32999997,0.32999998,0.32999998,0.32999998
88,2.19,0.24,16,0.32994521,0.32999993,0.32999995,0.32999996,0.32999996
89,8.07,0.29,5,0.20715258,0.31057816,0.32936456,0.32999189,0.33000431
90,9.9,0.17,15,0.32343803,0.32997378,0.32999918,0.32999928,0.32999934
91,9.26,0.2,16,0.32610991,0.32998884,0.32999941,0.32999948,0.32999952
92,6.14,0.39,6,0.27586867,0.32854549,0.32998578,0.32999997,0.33000004
93,5.31,0.43,11,0.32667229,0.32998987,0.32999924,0.32999932,0.32999938
94,6.05,0.5,17,0.32927338,0.32999899,0.32999977,0.32999979,0.32999981
95,4.38,0.43,14,0.32936762,0.32999905,0.32999973,0.32999976,0.32999978
96,2.17,0.16,19,0.32997139,0.32999996,0.32999998,0.32999998,0.32999998
97,3.84,0.15,11,0.32881024,0.32999764,0.32999955,0.3299996,0.32999964
98,8.13,0.4,12,0.32079123,0.32995092,0.32999877,0.32999896,0.32999904
99,8.7,0.48,12,0.31848245,0.32992866,0.32999858,0.32999886,0.32999894
100,8.44,0.46,6,0.22575233,0.32173062,0.32983336,0.32999824,0.33000002
101,1.37,0.3,7,0.32962609,0.32999944,0.32999988,0.32999989,0.3299999
102,8.77,0.22,7,0.248045,0.32626746,0.32994789,0.32999794,0.32999838
103,7.81,0.3,14,0.3259471,0.32998747,0.3299993,0.32999937,0.32999942
104,8.51,0.14,18,0.3283075,0.32999695,0.32999967,0.3299997,0.32999972
105,2.74,0.12,10,0.3293629,0.32999889,0.32999968,0.32999972,0.32999974
106,5,0.38,11,0.32727232,0.32999249,0.32999931,0.32999938,0.32999944
