index,L,R,P_high,t1,t2,t3,t4,t5
0,9.57,0.45,12,0.00099687,0.00099678,0.0009967,0.00099662,0.00099655
2,2.26,0.42,10,0.00098462,0.0009845,0.00098438,0.00098426,0.00098414
1,8.43,0.35,11,0.00099606,0.00099596,0.00099588,0.00099581,0.00099574
224,5.29,0.26,14,0.00099285,0.00099277,0.00099269,0.00099261,0.00099253
406,2.95,0.21,8,0.00098484,0.0009847,0.00098455,0.00098441,0.00098426
428,5.53,0.42,11,0.00099271,0.00099261,0.00099252,0.00099243,0.00099234
422,9.91,0.24,20,0.00099661,0.00099657,0.00099651,0.00099645,0.0009964
470,8.26,0.49,9,0.00099599,0.00099589,0.00099581,0.00099574,0.00099567
612,8.64,0.18,6,0.00099582,0.0009957,0.00099561,0.00099552,0.00099543
648,7.05,0.12,8,0.00099464,0.00099455,0.00099446,0.00099438,0.00099428
614,6.29,0.22,7,0.00099337,0.00099327,0.00099316,0.00099305,0.00099294
814,3.6,0.42,15,0.00099088,0.0009908,0.00099072,0.00099064,0.00099056
649,4.06,0.35,5,0.0009862,0.00098596,0.00098573,0.0009855,0.00098529
12,3.51,0.39,17,0.00099148,0.00099141,0.00099133,0.00099126,0.00099118
34,7.87,0.4,10,0.00099558,0.00099549,0.00099541,0.00099534,0.00099526
212,9.3,0.33,14,0.00099652,0.00099644,0.00099637,0.0009963,0.00099623
218,7.85,0.42,13,0.00099546,0.00099538,0.0009953,0.00099523,0.00099516
848,4.63,0.1,8,0.00099025,0.00099012,0.00098999,0.00098987,0.00098974
474,4.31,0.13,12,0.00099092,0.00099082,0.00099073,0.00099064,0.00099054
30,1.72,0.3,18,0.00098961,0.00098953,0.00098946,0.00098938,0.00098931
458,7.34,0.47,15,0.00099502,0.00099495,0.00099488,0.00099481,0.00099474
78,6.45,0.4,12,0.00099401,0.00099393,0.00099385,0.00099377,0.00099369
842,9.73,0.39,12,0.00099697,0.00099689,0.0009968,0.00099672,0.00099666
24,5.88,0.12,13,0.00099342,0.00099334,0.00099326,0.00099317,0.00099309
256,4.23,0.24,5,0.00098684,0.0009866,0.00098638,0.00098616,0.00098595
248,5.51,0.33,18,0.00099373,0.00099367,0.0009936,0.00099354,0.00099347
226,4.13,0.42,5,0.00098646,0.00098623,0.000986,0.00098578,0.00098556
58,9.73,0.25,8,0.00099715,0.00099703,0.00099693,0.00099686,0.0009968
62,1.53,0.21,19,0.00098989,0.00098982,0.00098975,0.00098968,0.0009896
618,7.54,0.21,20,0.00099537,0.00099532,0.00099526,0.0009952,0.00099515
232,3.77,0.45,20,0.00099259,0.00099253,0.00099247,0.0009924,0.00099234
616,8.22,0.42,15,0.00099572,0.00099565,0.00099558,0.00099551,0.00099544
38,5.81,0.29,8,0.00099274,0.00099263,0.00099253,0.00099242,0.00099231
878,9.64,0.47,7,0.00099693,0.0009968,0.00099671,0.00099664,0.00099657
828,7.94,0.22,10,0.00099565,0.00099556,0.00099548,0.0009954,0.00099533
14,5.23,0.19,16,0.00099314,0.00099306,0.00099299,0.00099292,0.00099284
414,9.81,0.49,5,0.0009961,0.00099594,0.0009958,0.00099566,0.00099552
876,7.84,0.38,13,0.00099545,0.00099537,0.0009953,0.00099522,0.00099515
636,3.87,0.46,13,0.00099051,0.00099042,0.00099034,0.00099024,0.00099015
39,4.52,0.42,5,0.00098793,0.00098771,0.0009875,0.00098729,0.00098708
617,2.04,0.35,11,0.00098509,0.00098498,0.00098487,0.00098476,0.00098464
446,9.2,0.14,17,0.00099632,0.00099625,0.00099619,0.00099613,0.00099607
246,6.27,0.11,8,0.00099352,0.00099342,0.00099332,0.00099322,0.00099312
656,8.56,0.26,15,0.00099597,0.00099589,0.00099582,0.00099576,0.00099569
832,1.12,0.44,14,0.00098574,0.00098565,0.00098555,0.00098546,0.00098536
