,index,L,R,P_high,t1,t2,t3,t4,t5
0,0,1.82,0.46,9,0.25476001,0.28468621,0.3039721,0.31550216,0.3221033
1,2,9.29,0.25,15,0.20223764,0.21482616,0.23540781,0.25856087,0.27940776
2,1,7.21,0.4,7,0.19789088,0.19793153,0.19907834,0.20226813,0.20853465
3,224,2.95,0.37,10,0.23225521,0.26303814,0.28736597,0.30409649,0.31476903
4,406,3.82,0.25,6,0.19879292,0.20492489,0.21700908,0.2340969,0.25342765
5,428,8.85,0.33,18,0.20983521,0.23465659,0.26196709,0.28480062,0.30138861
6,422,9.66,0.39,9,0.19851171,0.19857379,0.19966103,0.20278476,0.20909324
7,470,2.77,0.23,17,0.27754845,0.30283329,0.31629822,0.32322,0.32669515
8,612,7.14,0.49,11,0.2007326,0.20892406,0.22440561,0.24466409,0.26550249
9,648,4.7,0.16,9,0.20402934,0.21853816,0.23952299,0.26193066,0.28172779
10,614,6.44,0.15,14,0.2112075,0.235172,0.26151288,0.2838721,0.30039495
11,814,5.08,0.38,12,0.21372756,0.23876903,0.26495916,0.28660348,0.30234607
12,649,9.22,0.39,10,0.19873502,0.19968588,0.20323222,0.21091186,0.22336117
13,12,3.39,0.27,17,0.26632778,0.29509599,0.31154309,0.3204771,0.32517839
14,34,1.26,0.2,15,0.30126437,0.31680106,0.32399811,0.32729299,0.32878741
15,212,3.76,0.13,13,0.23748898,0.26956704,0.29310845,0.30841907,0.31775167
16,218,2.4,0.45,13,0.26599681,0.29430628,0.31081491,0.31994203,0.3248258
17,848,2.64,0.42,11,0.24711783,0.27841094,0.29964773,0.31277371,0.32047401
18,474,7.07,0.2,12,0.20254864,0.21491027,0.23474253,0.25724102,0.27783547
19,30,5.05,0.37,14,0.22427955,0.25485601,0.28094419,0.2996537,0.31191363
20,458,2.85,0.42,14,0.26156129,0.29110133,0.30878003,0.31873617,0.32414277
21,78,1.33,0.25,10,0.27881396,0.302973,0.31608379,0.32296062,0.32648789
22,842,3.82,0.3,16,0.25389992,0.28533852,0.3050271,0.316468,0.32283654
23,24,8.87,0.17,20,0.21551802,0.24542408,0.2734301,0.29442858,0.30854482
24,256,9.53,0.12,19,0.2091634,0.23397453,0.26150116,0.28454485,0.30127107
25,248,4.37,0.24,14,0.23357421,0.26572699,0.2901622,0.30640552,0.31646647
26,226,1.19,0.36,15,0.30290241,0.31767528,0.32444525,0.32751513,0.32889541
27,58,4.02,0.25,14,0.23920915,0.27160324,0.29482582,0.30966901,0.31858916
28,62,2.67,0.21,19,0.2864957,0.30859724,0.31967609,0.32509361,0.3276961
29,618,4.41,0.3,17,0.24941301,0.28175907,0.30261061,0.31496694,0.32195193
30,232,4.85,0.46,16,0.23766999,0.27060574,0.29427621,0.30939412,0.31846385
31,616,5.96,0.33,20,0.24240169,0.2762758,0.29896718,0.31273186,0.32064853
32,38,6.69,0.34,7,0.19787298,0.19823364,0.20025255,0.20509762,0.21374847
33,878,8.68,0.17,16,0.20568635,0.22475085,0.2497244,0.27343519,0.29230326
34,828,4.33,0.41,19,0.26007084,0.29074919,0.30885903,0.31892192,0.3243148
35,14,5.73,0.24,5,0.19676499,0.19630949,0.19647243,0.19768165,0.20060567
36,414,4.51,0.49,9,0.20515776,0.22125219,0.24333464,0.26594186,0.28528335
37,876,2.76,0.43,14,0.26352649,0.29261145,0.3097783,0.3193467,0.32449805
38,636,5.75,0.37,5,0.19677043,0.19630957,0.19645663,0.19763013,0.20048974
39,39,3.12,0.46,19,0.27912891,0.30403145,0.31707165,0.32367985,0.32695471
40,617,8.1,0.16,11,0.19958493,0.20423237,0.21496422,0.23156394,0.2512431
41,446,6.7,0.22,12,0.20373044,0.21821551,0.23971684,0.26266528,0.28273357
42,246,4.77,0.36,7,0.19882813,0.20365432,0.21405547,0.2297915,0.24857354
43,656,7.27,0.46,10,0.19945475,0.20399625,0.21440021,0.2305537,0.24989614
44,832,5.26,0.22,20,0.25131384,0.28401245,0.30442687,0.3162269,0.32275663
45,448,8.41,0.29,18,0.21219698,0.23893036,0.2665079,0.28862436,0.30424
46,450,4.15,0.49,15,0.24287099,0.27540836,0.29782019,0.31174681,0.31992959
47,220,8.05,0.43,9,0.19855078,0.19962463,0.20340779,0.2113633,0.22401413
48,247,1.38,0.47,14,0.29533723,0.31348336,0.32223638,0.32638935,0.32833541
49,830,4.74,0.23,19,0.25406815,0.28605661,0.30574227,0.31701422,0.32320621
50,666,7.77,0.39,17,0.21292354,0.23964372,0.26700378,0.28891494,0.30439209
51,852,7.16,0.24,12,0.20230537,0.21417855,0.2335838,0.2559288,0.27661761
52,216,7.92,0.41,19,0.21879616,0.24967034,0.27717589,0.29722294,0.3104498
53,404,4.82,0.32,9,0.20340735,0.21695846,0.2372117,0.25942148,0.27945192
54,6,6.42,0.44,5,0.1969522,0.19637281,0.19616413,0.19649903,0.19776031
55,434,8.47,0.12,18,0.21185285,0.23832949,0.26588236,0.28810425,0.30385558
56,604,1.02,0.48,15,0.30687694,0.31973729,0.32547659,0.32801789,0.32913582
57,808,6.02,0.28,17,0.22801078,0.260531,0.28632486,0.3038645,0.31488914
58,280,3.93,0.14,12,0.22819019,0.25895305,0.28419642,0.30192158,0.31338098
59,815,4.26,0.44,17,0.25178077,0.28377781,0.30402712,0.31587161,0.32249714
60,678,3.52,0.18,20,0.27642064,0.30237101,0.31613128,0.32317197,0.32668941
61,244,4.96,0.3,6,0.19743153,0.19880053,0.20315989,0.21167631,0.22457559
62,646,1.85,0.22,8,0.2448159,0.27549744,0.29707297,0.31082537,0.31912205
63,843,9.46,0.15,15,0.20191616,0.21376393,0.23370767,0.25665529,0.2776653
64,257,5.93,0.2,5,0.19681967,0.19631651,0.19633752,0.19722262,0.19955205
65,640,8.24,0.15,12,0.20032534,0.20732584,0.22153738,0.24108713,0.26193678
66,8,3.21,0.41,9,0.219692,0.24693512,0.27264246,0.29264632,0.30664533
67,478,5.01,0.36,20,0.25471044,0.28677034,0.30629885,0.31739115,0.32344212
68,806,2.13,0.5,7,0.22632643,0.25526038,0.28011162,0.29835248,0.31062312
69,59,6.94,0.35,11,0.20111391,0.21024866,0.22677749,0.24764439,0.2684988
70,628,6.77,0.28,8,0.19834182,0.199804,0.20440079,0.21346665,0.22716841
71,670,2.05,0.13,11,0.26287041,0.29167679,0.30897748,0.31877005,0.32411914
72,52,2.77,0.41,20,0.2879234,0.30950106,0.32019769,0.32537865,0.32784617
73,622,1.66,0.48,19,0.30317498,0.31792566,0.32461541,0.32761698,0.32895215
74,662,1.76,0.16,18,0.29914801,0.31576299,0.3235057,0.32706497,0.3286838
75,822,6.4,0.12,13,0.20795286,0.22842481,0.25347442,0.27649235,0.29451207
76,442,9.89,0.47,13,0.19968745,0.20433099,0.21539221,0.23255873,0.25271555
77,54,6.31,0.4,16,0.22046691,0.2506005,0.27744062,0.29714571,0.31025455
78,80,2.38,0.1,11,0.25362747,0.28412636,0.30376681,0.31546826,0.3221356
79,812,6.13,0.2,13,0.20960862,0.23176688,0.25744368,0.28013988,0.29742437
80,260,9.54,0.18,5,0.19768454,0.19699057,0.1964968,0.19614378,0.19589933
81,610,9.71,0.14,11,0.19894961,0.20047526,0.20545415,0.21541155,0.23031665
82,459,9.26,0.45,20,0.21317014,0.24172304,0.26983685,0.29158291,0.30651867
83,674,2.17,0.42,11,0.25942115,0.28894398,0.30712847,0.31761626,0.32343503
84,451,9.02,0.43,5,0.19757612,0.19688951,0.19640869,0.19607488,0.19586726
85,402,7.21,0.35,15,0.20980039,0.23301411,0.2593623,0.28212599,0.29912613
86,802,9.72,0.22,5,0.19772121,0.19702501,0.19652728,0.19616897,0.19591566
87,270,1.56,0.49,20,0.30671739,0.31975295,0.32552354,0.32805658,0.32916075
88,602,5.66,0.45,5,0.19674603,0.19631051,0.1965323,0.19787285,0.20103151
89,879,5.32,0.21,10,0.20408606,0.21874389,0.24000829,0.26261423,0.2824533
90,860,1.96,0.27,14,0.28150193,0.30512259,0.31753653,0.32386184,0.32701765
91,31,1.56,0.27,11,0.27751704,0.30226022,0.31572379,0.32278963,0.32641113
92,18,8.22,0.44,14,0.20314203,0.21720307,0.23875681,0.26200971,0.28237999
93,55,8.89,0.41,8,0.19827455,0.19819032,0.19886145,0.20105657,0.20577765
94,230,8.87,0.11,12,0.19973162,0.2046959,0.21607604,0.23339048,0.25350127
95,447,6.12,0.34,15,0.21783106,0.24643278,0.27332814,0.29383115,0.30785639
96,824,2.21,0.14,18,0.29123204,0.31133676,0.32116296,0.32586875,0.32808871
97,282,2.68,0.23,13,0.2595433,0.28937773,0.30756832,0.31796121,0.32367506
98,877,3.44,0.13,11,0.2298827,0.26062818,0.28547928,0.30279171,0.3139302
99,484,7.23,0.24,17,0.21671049,0.24567482,0.27300964,0.29378077,0.30792487
100,872,6.5,0.4,20,0.23616322,0.27034692,0.29456809,0.30981306,0.31883566
101,233,3.2,0.22,5,0.19778945,0.20349093,0.21490573,0.23129983,0.250214
102,680,2.1,0.21,20,0.29839018,0.31542231,0.32335763,0.32700248,0.32865815
103,449,6.68,0.44,20,0.23419167,0.26835086,0.2930347,0.30877042,0.31817507
104,472,9.65,0.39,11,0.19895899,0.20055585,0.20569428,0.21587871,0.23099786
105,74,4.37,0.43,6,0.1978116,0.20098144,0.20867168,0.22144939,0.23817447
106,403,3.23,0.47,11,0.23393994,0.26523647,0.2893612,0.30563454,0.31585153
107,245,5.28,0.38,17,0.23695696,0.27019038,0.29407701,0.30931338,0.31843959
108,416,7.31,0.47,8,0.19825641,0.19902069,0.20202773,0.20864099,0.21964114
109,70,4.09,0.22,9,0.20840588,0.22818718,0.25226969,0.27476799,0.29275274
110,853,7.44,0.1,7,0.19790757,0.1978549,0.19872644,0.20134935,0.20672035
111,424,8.23,0.16,8,0.19824178,0.19837288,0.1997053,0.20329309,0.2102379
112,657,4.39,0.2,7,0.19962074,0.20657735,0.21986344,0.23804757,0.25791416
113,202,9.21,0.3,20,0.21345585,0.24219121,0.27030088,0.29195521,0.30678631
114,660,4.84,0.22,11,0.21121232,0.23401621,0.25952913,0.28172702,0.29850829
115,882,5.76,0.22,18,0.23574591,0.26927522,0.29349258,0.30896892,0.3182468
116,430,4.81,0.39,14,0.22732194,0.25860538,0.28421684,0.30209715,0.31358556
117,833,4.44,0.4,19,0.25841507,0.28947726,0.30802296,0.31841415,0.32402166
118,861,5.14,0.23,12,0.21316983,0.23782457,0.26394933,0.28573632,0.30168587
119,410,6.38,0.23,7,0.19788432,0.19853857,0.2012881,0.20739577,0.21767375
120,890,5.52,0.35,16,0.22892372,0.26122265,0.28675153,0.30410252,0.31501274
121,221,4.65,0.14,9,0.20430851,0.21922674,0.24050834,0.26298229,0.28266961
122,641,3,0.42,13,0.25248081,0.2835893,0.30358238,0.31544543,0.32217124
123,663,8.48,0.49,9,0.19851361,0.1991829,0.20197273,0.20830287,0.21906041
124,436,4.82,0.41,15,0.23270175,0.2651005,0.28979115,0.30620745,0.31636944
125,429,4.07,0.15,10,0.21392972,0.23842534,0.26416834,0.28567855,0.30150013
126,407,8.8,0.25,7,0.19804158,0.19772541,0.19774953,0.198425,0.20031298
127,849,6.75,0.44,7,0.19787338,0.19818814,0.20008684,0.20471304,0.2130642
128,437,9.74,0.32,16,0.20269976,0.21671459,0.23861694,0.26224775,0.2828231
129,276,5.8,0.31,14,0.21630169,0.24368789,0.27042737,0.29138581,0.30602688
130,456,6.79,0.29,8,0.19833705,0.19976744,0.20429556,0.21326161,0.2268618
131,813,5.11,0.14,20,0.25334008,0.2856696,0.3055565,0.3169317,0.32317271
