index,results
844,"4.74, 0.23, 18, 0.00099303, 0.00099234, 0.00099166, 0.00099099, 0.00099033,
       0.00098966, 0.00098898, 0.00098828, 0.00098756, 0.00098682,
       0.00098606, 0.00098528, 0.00104738, 0.11158953, 0.24694715,
       0.29703046, 0.31657926, 0.3244834 , 0.32772177, 0.32905484,
       0.32960457, 0.32983147, 0.32992519, 0.32996394, 0.32998   ,
       0.32998669, 0.32998951, 0.32999073, 0.32999129, 0.32999157,
       0.32999173, 0.32999186, 0.32999196, 0.32999205, 0.32999214,
       0.32999223, 0.32999231, 0.32999239, 0.32999248, 0.32999256,
       0.32999264, 0.32999272, 0.3299928 , 0.32999287, 0.32999295,
       0.32999303, 0.3299931 , 0.32999318, 0.32999325, 0.32999332,
       0.3299934 , 0.32999347, 0.32999354, 0.32999361, 0.32999368,
       0.32999375, 0.32999381, 0.32999388, 0.32999395, 0.32999401,
       0.32999408, 0.32999414, 0.32999421, 0.32999427, 0.32999433,
       0.32999439, 0.32999445, 0.32999452, 0.32999457, 0.32999463,
       0.32999469, 0.32999475, 0.32999481, 0.32999486, 0.32999492,
       0.32999497, 0.32999503, 0.32999508, 0.32999514, 0.32999519,
       0.32999524, 0.32999529, 0.32999535, 0.3299954 , 0.32999545,
       0.3299955 , 0.32999555, 0.32999559, 0.32999564, 0.32999569,
       0.32999574, 0.32999578, 0.32999583, 0.32999588, 0.32999592,
       0.32999597, 0.32999601, 0.32999605, 0.3299961 ])]"
804,"4.5, 0.17, 15, 0.0009921 , 0.00099129, 0.0009905 , 0.00098974, 0.000989  ,
       0.00098825, 0.0009875 , 0.00098672, 0.00098593, 0.00098511,
       0.00098427, 0.00098341, 0.00098253, 0.00098162, 0.00098224,
       0.02710256, 0.20338485, 0.27982442, 0.30945294, 0.32146834,
       0.32643556, 0.32850363, 0.32936694, 0.32972778, 0.32987872,
       0.32994194, 0.32996847, 0.32997966, 0.32998441, 0.32998648,
       0.32998742, 0.32998789, 0.32998816, 0.32998834, 0.32998849,
       0.32998862, 0.32998874, 0.32998886, 0.32998898, 0.32998909,
       0.32998921, 0.32998932, 0.32998943, 0.32998955, 0.32998966,
       0.32998976, 0.32998987, 0.32998998, 0.32999008, 0.32999019,
       0.32999029, 0.32999039, 0.3299905 , 0.3299906 , 0.32999069,
       0.32999079, 0.32999089, 0.32999099, 0.32999108, 0.32999118,
       0.32999127, 0.32999136, 0.32999145, 0.32999154, 0.32999163,
       0.32999172, 0.32999181, 0.32999189, 0.32999198, 0.32999207,
       0.32999215, 0.32999223, 0.32999231, 0.3299924 , 0.32999248,
       0.32999256, 0.32999264, 0.32999271, 0.32999279, 0.32999287,
       0.32999294, 0.32999302, 0.32999309, 0.32999317, 0.32999324,
       0.32999331, 0.32999338, 0.32999345, 0.32999352, 0.32999359,
       0.32999366, 0.32999373, 0.32999379, 0.32999386, 0.32999392,
       0.32999399, 0.32999405, 0.32999412, 0.32999418])]"
832,"2.82, 0.25, 13, 0.00098857, 0.00098761, 0.00098662, 0.00098566, 0.0009847 ,
       0.00098373, 0.00098275, 0.00098174, 0.00098071, 0.00097977,
       0.00216498, 0.12604799, 0.24841006, 0.29646362, 0.31593746,
       0.32405444, 0.32747592, 0.32892435, 0.32953863, 0.32979942,
       0.32991024, 0.32995739, 0.32997748, 0.32998608, 0.32998979,
       0.32999142, 0.32999216, 0.32999253, 0.32999273, 0.32999286,
       0.32999296, 0.32999304, 0.32999312, 0.3299932 , 0.32999328,
       0.32999335, 0.32999343, 0.3299935 , 0.32999357, 0.32999365,
       0.32999372, 0.32999379, 0.32999386, 0.32999393, 0.32999399,
       0.32999406, 0.32999413, 0.32999419, 0.32999426, 0.32999432,
       0.32999439, 0.32999445, 0.32999451, 0.32999457, 0.32999463,
       0.32999469, 0.32999475, 0.32999481, 0.32999487, 0.32999493,
       0.32999498, 0.32999504, 0.3299951 , 0.32999515, 0.3299952 ,
       0.32999526, 0.32999531, 0.32999536, 0.32999542, 0.32999547,
       0.32999552, 0.32999557, 0.32999562, 0.32999567, 0.32999572,
       0.32999576, 0.32999581, 0.32999586, 0.32999591, 0.32999595,
       0.329996  , 0.32999604, 0.32999609, 0.32999613, 0.32999617,
       0.32999622, 0.32999626, 0.3299963 , 0.32999634, 0.32999638,
       0.32999643, 0.32999647, 0.32999651, 0.32999654, 0.32999658,
       0.32999662, 0.32999666, 0.3299967 , 0.32999674])]"
642,"4.94, 0.23, 14, 0.00099285, 0.00099172, 0.0009908 , 0.00098998, 0.00098922,
       0.00098847, 0.00098772, 0.00098695, 0.00098617, 0.00098536,
       0.00098454, 0.00098369, 0.00098282, 0.00098192, 0.000981  ,
       0.00098005, 0.00097908, 0.00097881, 0.00997448, 0.17949121,
       0.27019631, 0.30548386, 0.31979933, 0.32572968, 0.32820488,
       0.32924014, 0.32967314, 0.32985409, 0.32992961, 0.32996112,
       0.32997428, 0.32997981, 0.32998218, 0.32998324, 0.32998376,
       0.32998407, 0.32998429, 0.32998447, 0.32998463, 0.32998479,
       0.32998495, 0.3299851 , 0.32998525, 0.3299854 , 0.32998555,
       0.3299857 , 0.32998584, 0.32998598, 0.32998613, 0.32998627,
       0.32998641, 0.32998654, 0.32998668, 0.32998682, 0.32998695,
       0.32998708, 0.32998721, 0.32998734, 0.32998747, 0.3299876 ,
       0.32998773, 0.32998785, 0.32998798, 0.3299881 , 0.32998822,
       0.32998834, 0.32998846, 0.32998858, 0.32998869, 0.32998881,
       0.32998892, 0.32998904, 0.32998915, 0.32998926, 0.32998937,
       0.32998948, 0.32998959, 0.32998969, 0.3299898 , 0.3299899 ,
       0.32999001, 0.32999011, 0.32999021, 0.32999031, 0.32999041,
       0.32999051, 0.32999061, 0.3299907 , 0.3299908 , 0.32999089,
       0.32999099, 0.32999108, 0.32999117, 0.32999126, 0.32999135,
       0.32999144, 0.32999153, 0.32999162, 0.3299917 ])]"
222,"4.71, 0.15, 8, 0.00099043, 0.0009892 , 0.00098806, 0.00098702, 0.00098605,
       0.00098512, 0.00098421, 0.00098329, 0.00098237, 0.00098143,
       0.00098047, 0.00097948, 0.00097847, 0.00097743, 0.00097637,
       0.00097528, 0.00097416, 0.00097301, 0.00097183, 0.00097063,
       0.00096939, 0.00096812, 0.00096683, 0.0009655 , 0.00096414,
       0.00096275, 0.00096132, 0.00095987, 0.00095838, 0.00095686,
       0.0009553 , 0.00095423, 0.00127159, 0.03847512, 0.1938445 ,
       0.27187834, 0.30472804, 0.3188908 , 0.32508678, 0.32781399,
       0.32901743, 0.32954909, 0.32978416, 0.32988818, 0.32993429,
       0.32995479, 0.32996399, 0.32996819, 0.32997018, 0.32997119,
       0.32997178, 0.32997218, 0.32997249, 0.32997276, 0.32997301,
       0.32997326, 0.32997349, 0.32997373, 0.32997396, 0.32997419,
       0.32997442, 0.32997464, 0.32997486, 0.32997509, 0.32997531,
       0.32997552, 0.32997574, 0.32997595, 0.32997617, 0.32997638,
       0.32997658, 0.32997679, 0.329977  , 0.3299772 , 0.3299774 ,
       0.3299776 , 0.3299778 , 0.329978  , 0.32997819, 0.32997839,
       0.32997858, 0.32997877, 0.32997896, 0.32997914, 0.32997933,
       0.32997951, 0.3299797 , 0.32997988, 0.32998006, 0.32998023,
       0.32998041, 0.32998059, 0.32998076, 0.32998093, 0.3299811 ,
       0.32998127, 0.32998144, 0.3299816 , 0.32998177])]"
664,"3.97, 0.18, 19, 0.00099252, 0.00099184, 0.00099115, 0.00099046, 0.00098978,
       0.00098909, 0.00098838, 0.00098765, 0.0009869 , 0.00118424,
       0.13165076, 0.25479381, 0.30012954, 0.31785865, 0.32502149,
       0.32795044, 0.32915328, 0.32964804, 0.3298517 , 0.32993558,
       0.32997016, 0.32998444, 0.32999037, 0.32999284, 0.3299939 ,
       0.32999437, 0.3299946 , 0.32999473, 0.32999481, 0.32999488,
       0.32999495, 0.329995  , 0.32999506, 0.32999512, 0.32999517,
       0.32999523, 0.32999528, 0.32999533, 0.32999539, 0.32999544,
       0.32999549, 0.32999554, 0.32999559, 0.32999564, 0.32999569,
       0.32999574, 0.32999579, 0.32999583, 0.32999588, 0.32999593,
       0.32999597, 0.32999602, 0.32999606, 0.32999611, 0.32999615,
       0.3299962 , 0.32999624, 0.32999628, 0.32999632, 0.32999636,
       0.32999641, 0.32999645, 0.32999649, 0.32999653, 0.32999657,
       0.3299966 , 0.32999664, 0.32999668, 0.32999672, 0.32999676,
       0.32999679, 0.32999683, 0.32999686, 0.3299969 , 0.32999693,
       0.32999697, 0.329997  , 0.32999704, 0.32999707, 0.3299971 ,
       0.32999714, 0.32999717, 0.3299972 , 0.32999723, 0.32999726,
       0.3299973 , 0.32999733, 0.32999736, 0.32999739, 0.32999742,
       0.32999745, 0.32999747, 0.3299975 , 0.32999753, 0.32999756,
       0.32999759, 0.32999761, 0.32999764, 0.32999767])]"
428,"1.55, 0.16, 20, 0.00099038, 0.00098966, 0.00459596, 0.18137636, 0.2734834 ,
       0.30754815, 0.32092459, 0.32630968, 0.32849646, 0.32938689,
       0.3297497 , 0.32989754, 0.32995776, 0.32998229, 0.32999228,
       0.32999635, 0.32999801, 0.3299987 , 0.32999898, 0.3299991 ,
       0.32999916, 0.32999919, 0.3299992 , 0.32999922, 0.32999923,
       0.32999924, 0.32999925, 0.32999926, 0.32999927, 0.32999928,
       0.32999928, 0.32999929, 0.3299993 , 0.32999931, 0.32999932,
       0.32999933, 0.32999934, 0.32999934, 0.32999935, 0.32999936,
       0.32999937, 0.32999938, 0.32999938, 0.32999939, 0.3299994 ,
       0.32999941, 0.32999941, 0.32999942, 0.32999943, 0.32999944,
       0.32999944, 0.32999945, 0.32999946, 0.32999946, 0.32999947,
       0.32999948, 0.32999948, 0.32999949, 0.3299995 , 0.3299995 ,
       0.32999951, 0.32999951, 0.32999952, 0.32999953, 0.32999953,
       0.32999954, 0.32999954, 0.32999955, 0.32999955, 0.32999956,
       0.32999957, 0.32999957, 0.32999958, 0.32999958, 0.32999959,
       0.32999959, 0.3299996 , 0.3299996 , 0.32999961, 0.32999961,
       0.32999962, 0.32999962, 0.32999963, 0.32999963, 0.32999964,
       0.32999964, 0.32999964, 0.32999965, 0.32999965, 0.32999966,
       0.32999966, 0.32999967, 0.32999967, 0.32999967, 0.32999968,
       0.32999968, 0.32999969, 0.32999969, 0.32999969])]"
444,"1.17, 0.15, 12, 0.00098361, 0.0009825 , 0.00098141, 0.00149229, 0.09107966,
       0.23199658, 0.28960095, 0.31298905, 0.32277441, 0.32692055,
       0.32868544, 0.32943794, 0.32975899, 0.329896  , 0.32995451,
       0.32997949, 0.32999017, 0.32999474, 0.3299967 , 0.32999755,
       0.32999793, 0.3299981 , 0.32999819, 0.32999824, 0.32999827,
       0.3299983 , 0.32999832, 0.32999834, 0.32999836, 0.32999838,
       0.3299984 , 0.32999842, 0.32999844, 0.32999846, 0.32999848,
       0.3299985 , 0.32999851, 0.32999853, 0.32999855, 0.32999857,
       0.32999859, 0.3299986 , 0.32999862, 0.32999864, 0.32999865,
       0.32999867, 0.32999869, 0.3299987 , 0.32999872, 0.32999873,
       0.32999875, 0.32999876, 0.32999878, 0.32999879, 0.32999881,
       0.32999882, 0.32999884, 0.32999885, 0.32999887, 0.32999888,
       0.32999889, 0.32999891, 0.32999892, 0.32999893, 0.32999895,
       0.32999896, 0.32999897, 0.32999899, 0.329999  , 0.32999901,
       0.32999902, 0.32999903, 0.32999905, 0.32999906, 0.32999907,
       0.32999908, 0.32999909, 0.3299991 , 0.32999911, 0.32999912,
       0.32999914, 0.32999915, 0.32999916, 0.32999917, 0.32999918,
       0.32999919, 0.3299992 , 0.32999921, 0.32999922, 0.32999923,
       0.32999924, 0.32999924, 0.32999925, 0.32999926, 0.32999927,
       0.32999928, 0.32999929, 0.3299993 , 0.32999931])]"
46,"1.59, 0.29, 7, 0.00097607, 0.00097428, 0.00097253, 0.00097081, 0.0009691 ,
       0.00096739, 0.00096567, 0.00096392, 0.00096214, 0.00096051,
       0.00100518, 0.00619888, 0.11049965, 0.23154894, 0.28638493,
       0.31042933, 0.32115434, 0.3259853 , 0.32817201, 0.32916474,
       0.32961641, 0.32982233, 0.3299164 , 0.32995946, 0.32997921,
       0.32998831, 0.32999251, 0.32999446, 0.32999539, 0.32999583,
       0.32999607, 0.3299962 , 0.32999628, 0.32999634, 0.32999639,
       0.32999644, 0.32999648, 0.32999653, 0.32999657, 0.32999661,
       0.32999664, 0.32999668, 0.32999672, 0.32999676, 0.3299968 ,
       0.32999683, 0.32999687, 0.32999691, 0.32999694, 0.32999698,
       0.32999701, 0.32999705, 0.32999708, 0.32999711, 0.32999715,
       0.32999718, 0.32999721, 0.32999724, 0.32999727, 0.32999731,
       0.32999734, 0.32999737, 0.3299974 , 0.32999743, 0.32999746,
       0.32999749, 0.32999751, 0.32999754, 0.32999757, 0.3299976 ,
       0.32999763, 0.32999765, 0.32999768, 0.32999771, 0.32999773,
       0.32999776, 0.32999778, 0.32999781, 0.32999784, 0.32999786,
       0.32999788, 0.32999791, 0.32999793, 0.32999796, 0.32999798,
       0.329998  , 0.32999803, 0.32999805, 0.32999807, 0.32999809,
       0.32999811, 0.32999814, 0.32999816, 0.32999818, 0.3299982 ,
       0.32999822, 0.32999824, 0.32999826, 0.32999828])]"
232,"4.34, 0.21, 19, 0.00099287, 0.0009922 , 0.00099152, 0.00099086, 0.0009902 ,
       0.00098952, 0.00098884, 0.00098813, 0.00098741, 0.00098666,
       0.00105782, 0.11829456, 0.24995156, 0.29830427, 0.31713559,
       0.32472924, 0.32783119, 0.32910415, 0.32962745, 0.32984274,
       0.32993136, 0.32996789, 0.32998297, 0.32998921, 0.32999183,
       0.32999295, 0.32999345, 0.3299937 , 0.32999384, 0.32999394,
       0.32999402, 0.32999409, 0.32999416, 0.32999422, 0.32999429,
       0.32999435, 0.32999441, 0.32999447, 0.32999454, 0.3299946 ,
       0.32999466, 0.32999472, 0.32999477, 0.32999483, 0.32999489,
       0.32999495, 0.329995  , 0.32999506, 0.32999511, 0.32999517,
       0.32999522, 0.32999527, 0.32999533, 0.32999538, 0.32999543,
       0.32999548, 0.32999553, 0.32999558, 0.32999563, 0.32999568,
       0.32999573, 0.32999578, 0.32999582, 0.32999587, 0.32999592,
       0.32999596, 0.32999601, 0.32999605, 0.32999609, 0.32999614,
       0.32999618, 0.32999622, 0.32999627, 0.32999631, 0.32999635,
       0.32999639, 0.32999643, 0.32999647, 0.32999651, 0.32999655,
       0.32999659, 0.32999662, 0.32999666, 0.3299967 , 0.32999674,
       0.32999677, 0.32999681, 0.32999685, 0.32999688, 0.32999692,
       0.32999695, 0.32999698, 0.32999702, 0.32999705, 0.32999708,
       0.32999712, 0.32999715, 0.32999718, 0.32999721])]"
