,index,results
0,52.pickle,"1.44, 0.18, 18, 0.00098915, 0.00098838, 0.0016188 , 0.13559283, 0.25560568,       0.30032667, 0.31790705, 0.32503371, 0.32795516, 0.32915715,       0.32965222, 0.32985615, 0.32994015, 0.32997474, 0.32998899,       0.32999486, 0.32999728, 0.32999828, 0.32999871"
1,14.pickle,"1.13, 0.28, 20, 0.00098992, 0.01468699, 0.20048923, 0.2806663 , 0.31044029,       0.32212698, 0.32681525, 0.32870989, 0.32947718, 0.32978802,       0.32991392, 0.32996488, 0.32998551, 0.32999385, 0.32999723,       0.3299986 , 0.32999916, 0.32999938, 0.32999948"
2,28.pickle,"1.42, 0.2, 19, 0.00098967, 0.00098907, 0.01039895, 0.18996252, 0.27608567,       0.3084096 , 0.32121673, 0.32640752, 0.32852801, 0.32939638,       0.3297522 , 0.32989799, 0.32995771, 0.32998217, 0.32999219,       0.32999629, 0.32999798, 0.32999868, 0.32999897"
3,254.pickle,"1.0, 0.14, 17, 0.00098801, 0.0039726 , 0.17079044, 0.26900629, 0.30564893,       0.32010574, 0.32595578, 0.32834401, 0.32932157, 0.32972192,       0.32988585, 0.32995295, 0.32998041, 0.32999163, 0.32999622,       0.32999811, 0.32999888, 0.3299992 , 0.32999933"
4,204.pickle,"1.11, 0.12, 16, 0.00098743, 0.00099202, 0.04624293, 0.21654225, 0.28527599,       0.31182188, 0.32252404, 0.32691327, 0.32872391, 0.32947209,       0.32978135, 0.32990916, 0.32996197, 0.32998379, 0.3299928 ,       0.32999652, 0.32999807, 0.32999871, 0.32999898"
5,216.pickle,"1.21, 0.24, 17, 0.00098827, 0.00098905, 0.03099906, 0.20818886, 0.28236387,       0.3107363 , 0.32210777, 0.32675234, 0.32866167, 0.3294481 ,       0.32977214, 0.32990565, 0.32996064, 0.32998329, 0.32999261,       0.32999645, 0.32999804, 0.32999869, 0.32999897"
6,440.pickle,"1.15, 0.21, 20, 0.00098992, 0.00915065, 0.19284508, 0.27788801, 0.30935659,       0.3216903 , 0.32663727, 0.32863708, 0.32944736, 0.32977581,       0.32990892, 0.32996283, 0.32998466, 0.3299935 , 0.32999708,       0.32999853, 0.32999912, 0.32999936, 0.32999946"
7,260.pickle,"1.18, 0.13, 9, 0.0009786 , 0.00097717, 0.00097568, 0.00097418, 0.00097417,       0.00192458, 0.06910932, 0.21419368, 0.28050091, 0.30847017,       0.32055092, 0.32583593, 0.32816049, 0.32918546, 0.32963804,       0.3298381 , 0.32992662, 0.32996584, 0.32998323"
8,72.pickle,"1.34, 0.12, 10, 0.00098114, 0.00097986, 0.00097851, 0.00097715, 0.00097609,       0.00125771, 0.04391231, 0.19993724, 0.2751865 , 0.30643316,       0.31975965, 0.32552965, 0.32804349, 0.32914162, 0.329622  ,       0.32983236, 0.32992457, 0.32996502, 0.32998279"
9,448.pickle,"1.15, 0.13, 16, 0.00098749, 0.00098778, 0.02154989, 0.19929288, 0.27874442,       0.30920691, 0.32144854, 0.32646657, 0.32853776, 0.32939443,       0.32974892, 0.32989561, 0.32995629, 0.32998138, 0.32999176,       0.32999605, 0.32999783, 0.32999858, 0.32999889"
